ap_car,ap_cat,ap_chair,ap_dog,ap_person,checkpoint,checkpoint_path,conf_thresh,mAP@0.5,max_det,micro_precision,micro_recall,mode,nms_iou_thresh,num_predictions,precision_car,precision_cat,precision_chair,precision_dog,precision_person,recall_car,recall_cat,recall_chair,recall_dog,recall_person
0.334212,0.806079,0.428776,0.806256,0.636413,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.5,0.602347,50,0.118873,0.841168,classwise_current_max50,0.35,14301,0.049849,0.784211,0.107843,0.497175,0.130132,0.816254,0.846591,0.741135,0.854369,0.870577
0.313266,0.817845,0.422991,0.823969,0.631157,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.601846,100,0.090229,0.871351,raw_max100,0.4,19517,0.037138,0.7343,0.083751,0.447174,0.099331,0.865724,0.863636,0.769504,0.883495,0.89851
0.312008,0.822049,0.423783,0.820857,0.62959,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.601657,30,0.10885,0.85997,classwise_current_max30,0.4,15967,0.051007,0.708333,0.090379,0.426887,0.114142,0.823322,0.869318,0.769504,0.878641,0.888268
0.312008,0.822049,0.423783,0.820857,0.62959,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.601657,30,0.108584,0.85997,classwise_current_max30,0.4,16006,0.051007,0.683036,0.090379,0.397802,0.114142,0.823322,0.869318,0.769504,0.878641,0.888268
0.299547,0.84181,0.417531,0.831341,0.615533,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.601152,100,0.042051,0.907966,raw_max100,0.45,43638,0.018044,0.473214,0.036747,0.246053,0.045378,0.90106,0.903409,0.833333,0.907767,0.930168
0.312265,0.81789,0.422769,0.820904,0.630809,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.600928,50,0.099404,0.865908,raw_max50,0.4,17605,0.042614,0.737864,0.087343,0.446914,0.108111,0.848057,0.863636,0.765957,0.878641,0.894786
0.312265,0.81789,0.422769,0.820904,0.630809,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.600928,50,0.099404,0.865908,classwise_current_max50,0.4,17605,0.042614,0.737864,0.087343,0.446914,0.108111,0.848057,0.863636,0.765957,0.878641,0.894786
0.299345,0.838867,0.417267,0.831341,0.615252,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.600414,100,0.048033,0.902029,raw_max100,0.45,37953,0.02026,0.528428,0.042241,0.276627,0.052197,0.890459,0.897727,0.826241,0.907767,0.924581
0.312008,0.81789,0.423109,0.818719,0.629364,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.600218,30,0.114778,0.857001,classwise_current_max30,0.4,15090,0.051007,0.737864,0.096978,0.445545,0.123717,0.823322,0.863636,0.762411,0.873786,0.886406
0.299542,0.841951,0.416893,0.828446,0.61416,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.600198,50,0.052708,0.895101,raw_max50,0.45,34321,0.023952,0.477477,0.044248,0.24933,0.055738,0.876325,0.903409,0.815603,0.902913,0.918063
